monument,monumentLabel,monumentDescription,type,typeLabel,typeDescription,gps_coords,locationLabel,localidadeLabel,image
http://www.wikidata.org/entity/Q10352419,Praia Fluvial de Alvito da Beira,,,,,Point(-7.79861111 39.82444444),,Alvito da Beira,
http://www.wikidata.org/entity/Q10353159,Praia fluvial das Fragas de S. Simão,,,,,Point(-8.317121984 39.91598704),,Aguda,http://commons.wikimedia.org/wiki/Special:FilePath/The%20River%20beach%20of%20Fragas%20de%20S%C3%A3o%20Sim%C3%A3o.jpg
http://www.wikidata.org/entity/Q18464862,Praia fluvial de Adaúfe,,,,,Point(-8.407612 41.609279),,Braga,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20fluvial%20de%20Ada%C3%BAfe%20%2811%29.jpg
http://www.wikidata.org/entity/Q48867626,Praia Fluvial da Tapada Grande,"Praia fluvial no Mina de São Domingos, Portugal",,,,Point(-7.504277777 37.672333333),,Mina de São Domingos,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20fluvial%20da%20Mina%20de%20S%C3%A3o%20Domingos.JPG
http://www.wikidata.org/entity/Q49324291,Praia Fluvial do Alamal,"praia fluvial em Gavião, Portalegre, Portugal",,,,Point(-7.96779 39.48821),,Gavião,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Fluvial%20do%20Alamal%20-%20Portugal%20%282851229066%29.jpg
http://www.wikidata.org/entity/Q99034961,Poço Dos Chefes,"Praia fluvial no curral das freiras, Madeira",,,,Point(-16.969 32.717611111),,Curral das Freiras,http://commons.wikimedia.org/wiki/Special:FilePath/Po%C3%A7o%20dos%20chefes.png
http://www.wikidata.org/entity/Q110785317,Praia dos Moinhos,praia fluvial em Alcochete,,,,Point(-8.977774567 38.746375907),,Alcochete,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20dos%20Moinhos%20Alcochete%2004.jpg
http://www.wikidata.org/entity/Q110926866,Praia Fluvial da Casa Branca,praia fluvial no município de Azambuja,,,,Point(-8.835128002 39.032726747),,Azambuja,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Fluvial%20da%20Casa%20Branca%2003.jpg
