item,itemLabel,idwlm,localLabel,municipioLabel,fonte,cat,cats,button,tipos,classes
http://www.wikidata.org/entity/Q7228159,Ponte do Vouga,DGPC-31315649,Macinhata do Vouga,Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/31315649 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=25092 SIPA],Ponte do Vouga,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro|Ponte do Vouga,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q7228159&descriptionlang=pt&description=Ponte%20do%20Vouga%20-%20ponte%20sobre%20o%20rio%20Vouga%2C%20no%20munic%C3%ADpio%20de%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro%7CPonte%20do%20Vouga]],ponte,sem protecção legal
http://www.wikidata.org/entity/Q98348820,Pousada de Vale do Vouga,DGPC-10756820,Macinhata do Vouga,Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/10756820 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=17386 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q98348820&descriptionlang=pt&description=Pousada%20de%20Vale%20do%20Vouga%20-%20%C3%81gueda%20-%20Portugal%20-%20-&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],pousada,sem protecção legal
http://www.wikidata.org/entity/Q66812999,Solar da Quinta de Serém,DGPC-73268,Macinhata do Vouga,Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/73268 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=780 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q66812999&descriptionlang=pt&description=Solar%20da%20Quinta%20de%20Ser%C3%A9m%20-%20quinta%20em%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],quinta,sem protecção legal
http://www.wikidata.org/entity/Q10276240,Estação arqueológica do Cabeço do Vouga,DGPC-69750,"Trofa, Segadães e Lamas do Vouga",Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69750 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=6456 SIPA],Estação arqueológica do Cabeço do Vouga,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro|Estação arqueológica do Cabeço do Vouga,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q10276240&descriptionlang=pt&description=Esta%C3%A7%C3%A3o%20arqueol%C3%B3gica%20do%20Cabe%C3%A7o%20do%20Vouga%20-%20castro%20em%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro%7CEsta%C3%A7%C3%A3o%20arqueol%C3%B3gica%20do%20Cabe%C3%A7o%20do%20Vouga]],"sítio arqueológico, castro",Imóvel de Interesse Público
http://www.wikidata.org/entity/Q16892613,Igreja da Trofa,DGPC-71204,"Trofa, Segadães e Lamas do Vouga",Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/71204 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=1042 SIPA],Igreja da Trofa (Águeda),Images from Wiki Loves Monuments 2022 in Portugal - Aveiro|Igreja da Trofa (Águeda),[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q16892613&descriptionlang=pt&description=Igreja%20da%20Trofa%20-%20igreja%20em%20Trofa%2C%20munic%C3%ADpio%20de%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro%7CIgreja%20da%20Trofa%20%28%C3%81gueda%29]],igreja,Monumento Nacional
http://www.wikidata.org/entity/Q17390252,Pelourinho de Trofa,DGPC-74435,"Trofa, Segadães e Lamas do Vouga",Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/74435 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=235 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q17390252&descriptionlang=pt&description=Pelourinho%20de%20Trofa%20-%20pelourinho%20em%20Trofa%2C%20no%20munic%C3%ADpio%20de%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],pelourinho,Imóvel de Interesse Público
http://www.wikidata.org/entity/Q48854926,Ponte do Cabeço do Vouga,DGPC-74131,"Trofa, Segadães e Lamas do Vouga",Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/74131 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=5454 SIPA],Ponte do Cabeço do Vouga,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro|Ponte do Cabeço do Vouga,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q48854926&descriptionlang=pt&description=Ponte%20do%20Cabe%C3%A7o%20do%20Vouga%20-%20ponte%20em%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro%7CPonte%20do%20Cabe%C3%A7o%20do%20Vouga]],ponte,Imóvel de Interesse Público
http://www.wikidata.org/entity/Q7228159,Ponte do Vouga,DGPC-31315649,"Trofa, Segadães e Lamas do Vouga",Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/31315649 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=25092 SIPA],Ponte do Vouga,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro|Ponte do Vouga,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q7228159&descriptionlang=pt&description=Ponte%20do%20Vouga%20-%20ponte%20sobre%20o%20rio%20Vouga%2C%20no%20munic%C3%ADpio%20de%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro%7CPonte%20do%20Vouga]],ponte,sem protecção legal
http://www.wikidata.org/entity/Q66812997,Casa da Quinta da Aguieira,DGPC-72237,Valongo do Vouga,Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/72237 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=725 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q66812997&descriptionlang=pt&description=Casa%20da%20Quinta%20da%20Aguieira%20-%20quinta%20em%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],"quinta, casa",Em estudo
http://www.wikidata.org/entity/Q66812998,Casal de São José,DGPC-72243,Valongo do Vouga,Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/72243 DGPC],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q66812998&descriptionlang=pt&description=Casal%20de%20S%C3%A3o%20Jos%C3%A9%20-%20casal%20em%20%C3%81gueda%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],manor house,sem protecção legal
http://www.wikidata.org/entity/Q114223978,"Igreja de São Pedro, matriz de Valongo do Vouga, incluindo o património móvel integrado",DGPC-28549857,Valongo do Vouga,Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/28549857 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=23421 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q114223978&descriptionlang=pt&description=Igreja%20de%20S%C3%A3o%20Pedro%2C%20matriz%20de%20Valongo%20do%20Vouga%2C%20incluindo%20o%20patrim%C3%B3nio%20m%C3%B3vel%20integrado%20-%20%C3%81gueda%20-%20Portugal%20-%20-&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],igreja,Em vias de classificação
http://www.wikidata.org/entity/Q74473606,Casa da Borralha,DGPC-72238,Águeda e Borralha,Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/72238 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=244 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q74473606&descriptionlang=pt&description=Casa%20da%20Borralha&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],casa,Monumento de Interesse Público
http://www.wikidata.org/entity/Q98959952,Casa da Carapeteira,DGPC-14885727,Águeda e Borralha,Águeda,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/14885727 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=32214 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q98959952&descriptionlang=pt&description=Casa%20da%20Carapeteira%20-%20%C3%81gueda%20-%20Portugal%20-%20-&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],casa,Monumento de Interesse Municipal
